Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
000016.png,225840.0,455.0,95.0,4010.0,0.9975705640708512,-1.0,-1.0,-1.0,-1.0,187.0,63.0,406.0,229744.0,0.2850609756097561,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3756.0,99.0,116.0,226429.0,0.9458574666330899,-1.0,-1.0,-1.0,-1.0
000017.png,222237.0,135.0,89.0,7939.0,0.9989930819334625,-1.0,-1.0,-1.0,-1.0,531.0,167.0,68.0,229634.0,0.6932114882506527,-1.0,-1.0,-1.0,-1.0,835.0,3.0,103.0,229459.0,0.8873538788522848,-1.0,-1.0,-1.0,-1.0,6353.0,139.0,184.0,223724.0,0.951617735170761,-1.0,-1.0,-1.0,-1.0
000018.png,226088.0,170.0,18.0,4124.0,0.9991691562516573,-1.0,-1.0,-1.0,-1.0,689.0,200.0,350.0,229161.0,0.5560936238902341,-1.0,-1.0,-1.0,-1.0,143.0,0.0,186.0,230071.0,0.43465045592705165,-1.0,-1.0,-1.0,-1.0,2752.0,358.0,174.0,227116.0,0.8380024360535931,-1.0,-1.0,-1.0,-1.0
000019.png,223759.0,111.0,1432.0,5098.0,0.9931514145458096,-1.0,-1.0,-1.0,-1.0,1088.0,157.0,89.0,229066.0,0.815592203898051,-1.0,-1.0,-1.0,-1.0,27.0,0.0,76.0,230297.0,0.2621359223300971,-1.0,-1.0,-1.0,-1.0,3773.0,1485.0,156.0,224986.0,0.6968969338751385,-1.0,-1.0,-1.0,-1.0
000020.png,228778.0,37.0,66.0,1519.0,0.9995499844897567,-1.0,-1.0,-1.0,-1.0,166.0,13.0,70.0,230151.0,0.6666666666666666,-1.0,-1.0,-1.0,-1.0,72.0,39.0,2.0,230287.0,0.6371681415929203,-1.0,-1.0,-1.0,-1.0,1204.0,91.0,42.0,229063.0,0.900523560209424,-1.0,-1.0,-1.0,-1.0
000021.png,228392.0,75.0,17.0,1916.0,0.9995973459848392,-1.0,-1.0,-1.0,-1.0,337.0,147.0,110.0,229806.0,0.5673400673400674,-1.0,-1.0,-1.0,-1.0,0.0,0.0,86.0,230314.0,0.0,-1.0,-1.0,-1.0,-1.0,1344.0,105.0,114.0,228837.0,0.8598848368522073,-1.0,-1.0,-1.0,-1.0
000022.png,225175.0,124.0,28.0,5073.0,0.9993254248270291,-1.0,-1.0,-1.0,-1.0,473.0,105.0,69.0,229753.0,0.7310664605873262,-1.0,-1.0,-1.0,-1.0,415.0,0.0,107.0,229878.0,0.7950191570881227,-1.0,-1.0,-1.0,-1.0,4018.0,90.0,115.0,226177.0,0.9514563106796117,-1.0,-1.0,-1.0,-1.0
000023.png,224584.0,233.0,93.0,5490.0,0.9985505313236406,-1.0,-1.0,-1.0,-1.0,442.0,27.0,111.0,229820.0,0.7620689655172413,-1.0,-1.0,-1.0,-1.0,417.0,82.0,8.0,229893.0,0.8224852071005917,-1.0,-1.0,-1.0,-1.0,4511.0,104.0,234.0,225551.0,0.9302949061662198,-1.0,-1.0,-1.0,-1.0
000024.png,227943.0,80.0,366.0,2011.0,0.9980471914146478,-1.0,-1.0,-1.0,-1.0,337.0,44.0,78.0,229941.0,0.7342047930283224,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1608.0,388.0,68.0,228336.0,0.7790697674418605,-1.0,-1.0,-1.0,-1.0
000025.png,226575.0,96.0,247.0,3482.0,0.9984884407583356,-1.0,-1.0,-1.0,-1.0,572.0,126.0,158.0,229544.0,0.6682242990654206,-1.0,-1.0,-1.0,-1.0,175.0,57.0,0.0,230168.0,0.7543103448275862,-1.0,-1.0,-1.0,-1.0,2481.0,318.0,192.0,227409.0,0.8294884653961886,-1.0,-1.0,-1.0,-1.0
000026.png,226008.0,107.0,66.0,4219.0,0.9992351258505356,-1.0,-1.0,-1.0,-1.0,1347.0,170.0,137.0,228746.0,0.8143893591293833,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2621.0,147.0,221.0,227411.0,0.876881900301104,-1.0,-1.0,-1.0,-1.0
000027.png,226540.0,208.0,104.0,3548.0,0.9986246539594097,-1.0,-1.0,-1.0,-1.0,386.0,19.0,124.0,229871.0,0.7296786389413988,-1.0,-1.0,-1.0,-1.0,19.0,25.0,7.0,230349.0,0.37254901960784315,-1.0,-1.0,-1.0,-1.0,3059.0,144.0,161.0,227036.0,0.9093341260404281,-1.0,-1.0,-1.0,-1.0
000028.png,224985.0,164.0,73.0,5178.0,0.9989477049311346,-1.0,-1.0,-1.0,-1.0,300.0,97.0,102.0,229901.0,0.6012024048096193,-1.0,-1.0,-1.0,-1.0,566.0,7.0,129.0,229698.0,0.8062678062678063,-1.0,-1.0,-1.0,-1.0,4115.0,166.0,130.0,225989.0,0.9328950351394242,-1.0,-1.0,-1.0,-1.0
000029.png,225594.0,118.0,38.0,4650.0,0.9993089700996678,-1.0,-1.0,-1.0,-1.0,824.0,191.0,79.0,229306.0,0.753199268738574,-1.0,-1.0,-1.0,-1.0,358.0,0.0,125.0,229917.0,0.7412008281573499,-1.0,-1.0,-1.0,-1.0,3205.0,110.0,177.0,226908.0,0.9178121420389461,-1.0,-1.0,-1.0,-1.0
000030.png,224356.0,1194.0,69.0,4781.0,0.994402067201787,-1.0,-1.0,-1.0,-1.0,118.0,1.0,585.0,229696.0,0.16761363636363635,-1.0,-1.0,-1.0,-1.0,0.0,20.0,318.0,230062.0,0.0,-1.0,-1.0,-1.0,-1.0,4569.0,142.0,385.0,225304.0,0.896585557299843,-1.0,-1.0,-1.0,-1.0
000076.png,226629.0,163.0,84.0,3524.0,0.9989112995645199,-1.0,-1.0,-1.0,-1.0,216.0,57.0,132.0,229995.0,0.5333333333333333,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3241.0,94.0,98.0,226967.0,0.9440722400233033,-1.0,-1.0,-1.0,-1.0
000077.png,227302.0,97.0,91.0,2910.0,0.9991735900479142,-1.0,-1.0,-1.0,-1.0,606.0,73.0,83.0,229638.0,0.7952755905511811,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2230.0,92.0,88.0,227990.0,0.9253112033195021,-1.0,-1.0,-1.0,-1.0
000078.png,224376.0,29.0,102.0,5893.0,0.9994164992628293,-1.0,-1.0,-1.0,-1.0,1865.0,78.0,88.0,228369.0,0.9182668636139832,-1.0,-1.0,-1.0,-1.0,702.0,38.0,23.0,229637.0,0.9200524246395806,-1.0,-1.0,-1.0,-1.0,3166.0,146.0,78.0,227010.0,0.9339233038348083,-1.0,-1.0,-1.0,-1.0
000079.png,223924.0,74.0,158.0,6244.0,0.9989650065133211,-1.0,-1.0,-1.0,-1.0,770.0,55.0,65.0,229510.0,0.8651685393258427,-1.0,-1.0,-1.0,-1.0,193.0,20.0,7.0,230180.0,0.8772727272727273,-1.0,-1.0,-1.0,-1.0,5174.0,190.0,109.0,224927.0,0.9453681710213777,-1.0,-1.0,-1.0,-1.0
000080.png,227208.0,10.0,71.0,3111.0,0.9996436255164131,-1.0,-1.0,-1.0,-1.0,478.0,81.0,56.0,229785.0,0.7772357723577236,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2536.0,87.0,51.0,227726.0,0.9483919222139118,-1.0,-1.0,-1.0,-1.0
000081.png,224387.0,113.0,76.0,5824.0,0.9991584140780849,-1.0,-1.0,-1.0,-1.0,1209.0,63.0,183.0,228945.0,0.8309278350515464,-1.0,-1.0,-1.0,-1.0,0.0,45.0,0.0,230355.0,0.0,-1.0,-1.0,-1.0,-1.0,4442.0,141.0,103.0,225714.0,0.9479300042680324,-1.0,-1.0,-1.0,-1.0
000082.png,228261.0,7.0,55.0,2077.0,0.9997284548643808,-1.0,-1.0,-1.0,-1.0,977.0,25.0,48.0,229350.0,0.9304761904761905,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1041.0,89.0,18.0,229252.0,0.9067944250871081,-1.0,-1.0,-1.0,-1.0
000083.png,224015.0,103.0,108.0,6174.0,0.9990589851310732,-1.0,-1.0,-1.0,-1.0,1783.0,57.0,59.0,228501.0,0.9389152185360716,-1.0,-1.0,-1.0,-1.0,1166.0,56.0,15.0,229163.0,0.9426030719482619,-1.0,-1.0,-1.0,-1.0,3098.0,122.0,156.0,227024.0,0.917654028436019,-1.0,-1.0,-1.0,-1.0
000084.png,216045.0,113.0,177.0,14065.0,0.9986594864446344,-1.0,-1.0,-1.0,-1.0,1823.0,81.0,105.0,228391.0,0.90741662518666,-1.0,-1.0,-1.0,-1.0,526.0,17.0,29.0,229828.0,0.9195804195804196,-1.0,-1.0,-1.0,-1.0,11555.0,240.0,140.0,218465.0,0.9681608713866778,-1.0,-1.0,-1.0,-1.0
000085.png,224869.0,63.0,66.0,5402.0,0.9994266615703251,-1.0,-1.0,-1.0,-1.0,1931.0,78.0,61.0,228330.0,0.9328502415458937,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3380.0,79.0,93.0,226848.0,0.9515765765765766,-1.0,-1.0,-1.0,-1.0
000086.png,226790.0,107.0,42.0,3461.0,0.9993434359012774,-1.0,-1.0,-1.0,-1.0,940.0,79.0,177.0,229204.0,0.7859531772575251,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2362.0,122.0,89.0,227827.0,0.917994558880684,-1.0,-1.0,-1.0,-1.0
000087.png,226572.0,104.0,65.0,3659.0,0.9992546561936306,-1.0,-1.0,-1.0,-1.0,1102.0,118.0,171.0,229009.0,0.792235801581596,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2377.0,127.0,113.0,227783.0,0.9082919373328239,-1.0,-1.0,-1.0,-1.0
000088.png,224033.0,67.0,129.0,6171.0,0.9991258936176854,-1.0,-1.0,-1.0,-1.0,476.0,40.0,68.0,229816.0,0.815068493150685,-1.0,-1.0,-1.0,-1.0,613.0,53.0,1.0,229733.0,0.9190404797601199,-1.0,-1.0,-1.0,-1.0,4980.0,138.0,100.0,225182.0,0.9543886546569567,-1.0,-1.0,-1.0,-1.0
000089.png,228765.0,41.0,28.0,1566.0,0.9996984713810011,-1.0,-1.0,-1.0,-1.0,172.0,45.0,127.0,230056.0,0.5,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1247.0,130.0,61.0,228962.0,0.8671766342141863,-1.0,-1.0,-1.0,-1.0
000090.png,221288.0,97.0,149.0,8866.0,0.9988895609703251,-1.0,-1.0,-1.0,-1.0,1267.0,124.0,57.0,228952.0,0.875,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,7468.0,156.0,171.0,222605.0,0.9580500320718409,-1.0,-1.0,-1.0,-1.0
000136.png,227098.0,135.0,46.0,3121.0,0.9992036219800333,-1.0,-1.0,-1.0,-1.0,995.0,43.0,131.0,229231.0,0.8511548331907614,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2048.0,81.0,82.0,228189.0,0.9262777023971054,-1.0,-1.0,-1.0,-1.0
000137.png,223218.0,129.0,71.0,6982.0,0.9991048169798316,-1.0,-1.0,-1.0,-1.0,747.0,38.0,66.0,229549.0,0.8777908343125734,-1.0,-1.0,-1.0,-1.0,384.0,26.0,27.0,229963.0,0.8787185354691075,-1.0,-1.0,-1.0,-1.0,5766.0,92.0,121.0,224421.0,0.9643753135975915,-1.0,-1.0,-1.0,-1.0
000138.png,217644.0,92.0,124.0,12540.0,0.9990085375929496,-1.0,-1.0,-1.0,-1.0,480.0,7.0,33.0,229880.0,0.9230769230769231,-1.0,-1.0,-1.0,-1.0,1462.0,58.0,6.0,228874.0,0.9580602883355177,-1.0,-1.0,-1.0,-1.0,10558.0,99.0,93.0,219650.0,0.982139534883721,-1.0,-1.0,-1.0,-1.0
000139.png,227874.0,101.0,36.0,2389.0,0.9993991517953081,-1.0,-1.0,-1.0,-1.0,726.0,79.0,187.0,229408.0,0.7318548387096774,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1496.0,124.0,81.0,228699.0,0.8794826572604351,-1.0,-1.0,-1.0,-1.0
000140.png,227659.0,58.0,13.0,2670.0,0.9996882272866991,-1.0,-1.0,-1.0,-1.0,1000.0,43.0,142.0,229215.0,0.8438818565400844,-1.0,-1.0,-1.0,-1.0,141.0,0.0,28.0,230231.0,0.834319526627219,-1.0,-1.0,-1.0,-1.0,1392.0,107.0,25.0,228876.0,0.9133858267716536,-1.0,-1.0,-1.0,-1.0
000141.png,224081.0,58.0,70.0,6191.0,0.9994291040948401,-1.0,-1.0,-1.0,-1.0,1187.0,83.0,67.0,229063.0,0.8878085265519821,-1.0,-1.0,-1.0,-1.0,454.0,20.0,10.0,229916.0,0.9380165289256198,-1.0,-1.0,-1.0,-1.0,4423.0,94.0,108.0,225775.0,0.9563243243243243,-1.0,-1.0,-1.0,-1.0
000142.png,226806.0,175.0,139.0,3280.0,0.998617470940472,-1.0,-1.0,-1.0,-1.0,491.0,21.0,81.0,229807.0,0.8279932546374368,-1.0,-1.0,-1.0,-1.0,304.0,5.0,47.0,230044.0,0.8539325842696629,-1.0,-1.0,-1.0,-1.0,2422.0,176.0,110.0,227692.0,0.8943870014771049,-1.0,-1.0,-1.0,-1.0
