Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
000016.png,225838.0,55.0,97.0,4410.0,0.9993274038674278,-1.0,-1.0,-1.0,-1.0,556.0,91.0,37.0,229716.0,0.8128654970760234,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3794.0,66.0,78.0,226462.0,0.9634332148298629,-1.0,-1.0,-1.0,-1.0
000017.png,222196.0,119.0,130.0,7955.0,0.9988806221762683,-1.0,-1.0,-1.0,-1.0,481.0,165.0,118.0,229636.0,0.6295811518324608,-1.0,-1.0,-1.0,-1.0,737.0,0.0,201.0,229462.0,0.7857142857142857,-1.0,-1.0,-1.0,-1.0,6454.0,248.0,83.0,223615.0,0.9512159174649963,-1.0,-1.0,-1.0,-1.0
000018.png,226044.0,70.0,62.0,4224.0,0.9994163837011885,-1.0,-1.0,-1.0,-1.0,834.0,185.0,205.0,229176.0,0.6813725490196079,-1.0,-1.0,-1.0,-1.0,211.0,0.0,118.0,230071.0,0.6413373860182371,-1.0,-1.0,-1.0,-1.0,2778.0,278.0,148.0,227196.0,0.8670411985018727,-1.0,-1.0,-1.0,-1.0
000019.png,225086.0,48.0,105.0,5161.0,0.9993207215446703,-1.0,-1.0,-1.0,-1.0,1113.0,220.0,64.0,229003.0,0.7967072297780959,-1.0,-1.0,-1.0,-1.0,0.0,0.0,103.0,230297.0,0.0,-1.0,-1.0,-1.0,-1.0,3803.0,130.0,126.0,226341.0,0.936930278393693,-1.0,-1.0,-1.0,-1.0
000020.png,228750.0,14.0,94.0,1542.0,0.9995280916550874,-1.0,-1.0,-1.0,-1.0,138.0,17.0,98.0,230147.0,0.5454545454545454,-1.0,-1.0,-1.0,-1.0,68.0,20.0,6.0,230306.0,0.723404255319149,-1.0,-1.0,-1.0,-1.0,1233.0,160.0,13.0,228994.0,0.8769559032716927,-1.0,-1.0,-1.0,-1.0
000021.png,228371.0,18.0,38.0,1973.0,0.9997548450927429,-1.0,-1.0,-1.0,-1.0,261.0,33.0,186.0,229920.0,0.54375,-1.0,-1.0,-1.0,-1.0,73.0,78.0,13.0,230236.0,0.4451219512195122,-1.0,-1.0,-1.0,-1.0,1420.0,146.0,38.0,228796.0,0.885286783042394,-1.0,-1.0,-1.0,-1.0
000022.png,225144.0,62.0,59.0,5135.0,0.9994628548598318,-1.0,-1.0,-1.0,-1.0,487.0,158.0,55.0,229700.0,0.6957142857142857,-1.0,-1.0,-1.0,-1.0,370.0,0.0,152.0,229878.0,0.7088122605363985,-1.0,-1.0,-1.0,-1.0,4071.0,108.0,62.0,226159.0,0.9599151143598208,-1.0,-1.0,-1.0,-1.0
000023.png,224552.0,37.0,125.0,5686.0,0.9992790836351986,-1.0,-1.0,-1.0,-1.0,504.0,43.0,49.0,229804.0,0.8456375838926175,-1.0,-1.0,-1.0,-1.0,389.0,18.0,36.0,229957.0,0.8781038374717833,-1.0,-1.0,-1.0,-1.0,4712.0,145.0,33.0,225510.0,0.96359918200409,-1.0,-1.0,-1.0,-1.0
000024.png,228255.0,24.0,54.0,2067.0,0.9996583936618886,-1.0,-1.0,-1.0,-1.0,367.0,64.0,48.0,229921.0,0.7661795407098121,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1622.0,68.0,54.0,228656.0,0.930045871559633,-1.0,-1.0,-1.0,-1.0
000025.png,226753.0,28.0,69.0,3550.0,0.9995724046726912,-1.0,-1.0,-1.0,-1.0,626.0,140.0,104.0,229530.0,0.7195402298850575,-1.0,-1.0,-1.0,-1.0,131.0,5.0,44.0,230220.0,0.7277777777777777,-1.0,-1.0,-1.0,-1.0,2566.0,151.0,107.0,227576.0,0.9086402266288952,-1.0,-1.0,-1.0,-1.0
