Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
000016.png,225894.0,443.0,41.0,4022.0,0.9978619830548905,-1.0,-1.0,-1.0,-1.0,207.0,28.0,386.0,229779.0,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3794.0,34.0,78.0,226494.0,0.9713261648745519,-1.0,-1.0,-1.0,-1.0
000017.png,222217.0,107.0,109.0,7967.0,0.9990289210683666,-1.0,-1.0,-1.0,-1.0,526.0,75.0,73.0,229726.0,0.7804154302670623,-1.0,-1.0,-1.0,-1.0,873.0,2.0,65.0,229460.0,0.9287234042553192,-1.0,-1.0,-1.0,-1.0,6433.0,167.0,104.0,223696.0,0.9595763723150358,-1.0,-1.0,-1.0,-1.0
000018.png,226063.0,108.0,43.0,4186.0,0.9993324904736223,-1.0,-1.0,-1.0,-1.0,875.0,157.0,164.0,229204.0,0.7316053511705686,-1.0,-1.0,-1.0,-1.0,217.0,14.0,112.0,230057.0,0.6326530612244898,-1.0,-1.0,-1.0,-1.0,2796.0,170.0,130.0,227304.0,0.9031007751937985,-1.0,-1.0,-1.0,-1.0
000019.png,225119.0,120.0,72.0,5089.0,0.9991478445348874,-1.0,-1.0,-1.0,-1.0,1044.0,133.0,133.0,229090.0,0.7969465648854962,-1.0,-1.0,-1.0,-1.0,102.0,32.0,1.0,230265.0,0.7555555555555555,-1.0,-1.0,-1.0,-1.0,3750.0,100.0,179.0,226371.0,0.9307520476545048,-1.0,-1.0,-1.0,-1.0
000020.png,228803.0,45.0,41.0,1511.0,0.9996242720270524,-1.0,-1.0,-1.0,-1.0,155.0,26.0,81.0,230138.0,0.5916030534351145,-1.0,-1.0,-1.0,-1.0,71.0,41.0,3.0,230285.0,0.6173913043478261,-1.0,-1.0,-1.0,-1.0,1194.0,65.0,52.0,229089.0,0.9107551487414187,-1.0,-1.0,-1.0,-1.0
000021.png,228367.0,90.0,42.0,1901.0,0.9994223169466825,-1.0,-1.0,-1.0,-1.0,285.0,92.0,162.0,229861.0,0.5287569573283859,-1.0,-1.0,-1.0,-1.0,55.0,77.0,31.0,230237.0,0.3374233128834356,-1.0,-1.0,-1.0,-1.0,1366.0,68.0,92.0,228874.0,0.8951507208387942,-1.0,-1.0,-1.0,-1.0
000022.png,225163.0,119.0,40.0,5078.0,0.999294343206611,-1.0,-1.0,-1.0,-1.0,442.0,33.0,100.0,229825.0,0.768695652173913,-1.0,-1.0,-1.0,-1.0,520.0,39.0,2.0,229839.0,0.9269162210338681,-1.0,-1.0,-1.0,-1.0,4019.0,65.0,114.0,226202.0,0.9573606479275846,-1.0,-1.0,-1.0,-1.0
000023.png,224613.0,256.0,64.0,5467.0,0.9985773541454567,-1.0,-1.0,-1.0,-1.0,435.0,16.0,118.0,229831.0,0.7644991212653779,-1.0,-1.0,-1.0,-1.0,421.0,91.0,4.0,229884.0,0.8158914728682171,-1.0,-1.0,-1.0,-1.0,4496.0,72.0,249.0,225583.0,0.9333610130786797,-1.0,-1.0,-1.0,-1.0
000024.png,228246.0,45.0,63.0,2046.0,0.9995270501064137,-1.0,-1.0,-1.0,-1.0,365.0,90.0,50.0,229895.0,0.7227722772277227,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1605.0,49.0,71.0,228675.0,0.9304347826086956,-1.0,-1.0,-1.0,-1.0
000025.png,226758.0,82.0,64.0,3496.0,0.9993565560765787,-1.0,-1.0,-1.0,-1.0,685.0,142.0,45.0,229528.0,0.7855504587155964,-1.0,-1.0,-1.0,-1.0,174.0,57.0,1.0,230168.0,0.75,-1.0,-1.0,-1.0,-1.0,2454.0,48.0,219.0,227679.0,0.9018743109151047,-1.0,-1.0,-1.0,-1.0
