Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
000016.png,229741.0,113.0,66.0,480.0,0.9992214683368128,-1.0,-1.0,-1.0,-1.0,480.0,66.0,113.0,229741.0,0.7283763277693475,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
000017.png,228860.0,299.0,3.0,1238.0,0.9986821549820651,-1.0,-1.0,-1.0,-1.0,365.0,129.0,234.0,229672.0,0.5013736263736264,-1.0,-1.0,-1.0,-1.0,747.0,0.0,191.0,229462.0,0.7963752665245203,-1.0,-1.0,-1.0,-1.0
000018.png,229023.0,498.0,9.0,870.0,0.9977911384132793,-1.0,-1.0,-1.0,-1.0,561.0,49.0,478.0,229312.0,0.515625,-1.0,-1.0,-1.0,-1.0,250.0,19.0,79.0,230052.0,0.7183908045977011,-1.0,-1.0,-1.0,-1.0
000019.png,229098.0,282.0,22.0,998.0,0.9986748153895781,-1.0,-1.0,-1.0,-1.0,928.0,68.0,249.0,229155.0,0.7453815261044177,-1.0,-1.0,-1.0,-1.0,21.0,3.0,82.0,230294.0,0.19811320754716982,-1.0,-1.0,-1.0,-1.0
000020.png,230065.0,104.0,25.0,206.0,0.9994396031173706,-1.0,-1.0,-1.0,-1.0,141.0,13.0,95.0,230151.0,0.5662650602409639,-1.0,-1.0,-1.0,-1.0,58.0,19.0,16.0,230307.0,0.6236559139784946,-1.0,-1.0,-1.0,-1.0
000021.png,229780.0,139.0,87.0,394.0,0.9990174169369495,-1.0,-1.0,-1.0,-1.0,246.0,74.0,201.0,229879.0,0.472168905950096,-1.0,-1.0,-1.0,-1.0,70.0,91.0,16.0,230223.0,0.3954802259887006,-1.0,-1.0,-1.0,-1.0
000022.png,229266.0,81.0,70.0,983.0,0.9993418098920307,-1.0,-1.0,-1.0,-1.0,436.0,48.0,106.0,229810.0,0.7389830508474576,-1.0,-1.0,-1.0,-1.0,512.0,57.0,10.0,229821.0,0.8842832469775475,-1.0,-1.0,-1.0,-1.0
000023.png,229396.0,79.0,26.0,899.0,0.9995424856536573,-1.0,-1.0,-1.0,-1.0,490.0,39.0,63.0,229808.0,0.8277027027027027,-1.0,-1.0,-1.0,-1.0,387.0,9.0,38.0,229966.0,0.8917050691244239,-1.0,-1.0,-1.0,-1.0
000024.png,229916.0,73.0,69.0,342.0,0.9993827643463822,-1.0,-1.0,-1.0,-1.0,342.0,69.0,73.0,229916.0,0.7066115702479339,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
000025.png,229336.0,127.0,159.0,778.0,0.9987544747454512,-1.0,-1.0,-1.0,-1.0,494.0,137.0,236.0,229533.0,0.5697808535178778,-1.0,-1.0,-1.0,-1.0,170.0,136.0,5.0,230089.0,0.5466237942122186,-1.0,-1.0,-1.0,-1.0
000026.png,228849.0,209.0,67.0,1275.0,0.9987954173486089,-1.0,-1.0,-1.0,-1.0,1275.0,67.0,209.0,228849.0,0.8220502901353965,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
000027.png,229824.0,97.0,40.0,439.0,0.9994042468070673,-1.0,-1.0,-1.0,-1.0,338.0,30.0,172.0,229860.0,0.6259259259259259,-1.0,-1.0,-1.0,-1.0,20.0,91.0,6.0,230283.0,0.17094017094017094,-1.0,-1.0,-1.0,-1.0
000028.png,229298.0,255.0,5.0,842.0,0.9988673886338093,-1.0,-1.0,-1.0,-1.0,253.0,77.0,149.0,229921.0,0.5281837160751566,-1.0,-1.0,-1.0,-1.0,503.0,14.0,192.0,229691.0,0.7094499294781382,-1.0,-1.0,-1.0,-1.0
000029.png,229008.0,363.0,6.0,1023.0,0.9983912946808093,-1.0,-1.0,-1.0,-1.0,606.0,106.0,297.0,229391.0,0.6005946481665014,-1.0,-1.0,-1.0,-1.0,313.0,4.0,170.0,229913.0,0.6427104722792608,-1.0,-1.0,-1.0,-1.0
000030.png,229364.0,140.0,15.0,881.0,0.999324674645672,-1.0,-1.0,-1.0,-1.0,558.0,10.0,145.0,229687.0,0.782608695652174,-1.0,-1.0,-1.0,-1.0,303.0,25.0,15.0,230057.0,0.8833819241982507,-1.0,-1.0,-1.0,-1.0
