Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
003151.png,230052.0,107.0,47.0,194.0,0.9993310339435114,-1.0,-1.0,-1.0,-1.0,9.0,63.0,67.0,230261.0,0.06474820143884892,-1.0,-1.0,-1.0,-1.0,168.0,1.0,57.0,230174.0,0.7433628318584071,-1.0,-1.0,-1.0,-1.0
003152.png,230067.0,281.0,24.0,28.0,0.9986760543816089,-1.0,-1.0,-1.0,-1.0,28.0,24.0,281.0,230067.0,0.08408408408408409,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003153.png,229462.0,140.0,59.0,739.0,0.9991335054711075,-1.0,-1.0,-1.0,-1.0,739.0,59.0,140.0,229462.0,0.7878464818763327,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003154.png,229328.0,104.0,174.0,794.0,0.9987892302465964,-1.0,-1.0,-1.0,-1.0,346.0,235.0,53.0,229766.0,0.5457413249211357,-1.0,-1.0,-1.0,-1.0,386.0,1.0,113.0,229900.0,0.772,-1.0,-1.0,-1.0,-1.0
003155.png,229974.0,125.0,50.0,251.0,0.9992396230268218,-1.0,-1.0,-1.0,-1.0,251.0,50.0,125.0,229974.0,0.5892018779342723,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003156.png,229661.0,218.0,84.0,437.0,0.9986867452590199,-1.0,-1.0,-1.0,-1.0,437.0,84.0,218.0,229661.0,0.591339648173207,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003157.png,229655.0,160.0,74.0,511.0,0.9989821174566856,-1.0,-1.0,-1.0,-1.0,511.0,74.0,160.0,229655.0,0.6859060402684564,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003158.png,230252.0,107.0,30.0,11.0,0.9994053535542061,-1.0,-1.0,-1.0,-1.0,8.0,30.0,92.0,230270.0,0.06153846153846154,-1.0,-1.0,-1.0,-1.0,0.0,3.0,18.0,230379.0,0.0,-1.0,-1.0,-1.0,-1.0
003159.png,229688.0,213.0,56.0,443.0,0.9988302160838766,-1.0,-1.0,-1.0,-1.0,350.0,78.0,156.0,229816.0,0.5993150684931506,-1.0,-1.0,-1.0,-1.0,71.0,0.0,79.0,230250.0,0.47333333333333333,-1.0,-1.0,-1.0,-1.0
003160.png,229056.0,138.0,40.0,1166.0,0.9992235008768333,-1.0,-1.0,-1.0,-1.0,366.0,281.0,24.0,229729.0,0.5454545454545454,-1.0,-1.0,-1.0,-1.0,559.0,0.0,355.0,229486.0,0.611597374179431,-1.0,-1.0,-1.0,-1.0
003161.png,229858.0,106.0,57.0,379.0,0.9992913690489129,-1.0,-1.0,-1.0,-1.0,134.0,47.0,80.0,230139.0,0.5134099616858238,-1.0,-1.0,-1.0,-1.0,219.0,36.0,52.0,230093.0,0.7133550488599348,-1.0,-1.0,-1.0,-1.0
003162.png,229669.0,307.0,127.0,297.0,0.9981138881283599,-1.0,-1.0,-1.0,-1.0,297.0,127.0,307.0,229669.0,0.4062927496580027,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003163.png,229412.0,194.0,63.0,731.0,0.9988809983062581,-1.0,-1.0,-1.0,-1.0,426.0,74.0,94.0,229806.0,0.7171717171717171,-1.0,-1.0,-1.0,-1.0,291.0,3.0,114.0,229992.0,0.7132352941176471,-1.0,-1.0,-1.0,-1.0
003164.png,230095.0,112.0,35.0,158.0,0.9993615413347695,-1.0,-1.0,-1.0,-1.0,158.0,35.0,112.0,230095.0,0.5180327868852459,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
003165.png,229175.0,295.0,64.0,866.0,0.9984359615568935,-1.0,-1.0,-1.0,-1.0,419.0,126.0,89.0,229766.0,0.6608832807570978,-1.0,-1.0,-1.0,-1.0,385.0,0.0,268.0,229747.0,0.5895865237366003,-1.0,-1.0,-1.0,-1.0
003166.png,229184.0,210.0,27.0,979.0,0.9989669646632174,-1.0,-1.0,-1.0,-1.0,342.0,187.0,43.0,229828.0,0.5979020979020979,-1.0,-1.0,-1.0,-1.0,477.0,0.0,327.0,229596.0,0.5932835820895522,-1.0,-1.0,-1.0,-1.0
