Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
GPMF11_0087.png,223300.0,7100.0,0.0,0.0,0.9691840277777778,-1.0,-1.0,-1.0,-1.0,0.0,0.0,7100.0,223300.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_0101.png,224348.0,6052.0,0.0,0.0,0.9737326388888888,-1.0,-1.0,-1.0,-1.0,0.0,0.0,6052.0,224348.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_0213.png,223424.0,6976.0,0.0,0.0,0.9697222222222223,-1.0,-1.0,-1.0,-1.0,0.0,0.0,6976.0,223424.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_0495.png,224784.0,5616.0,0.0,0.0,0.975625,-1.0,-1.0,-1.0,-1.0,0.0,0.0,5616.0,224784.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_0887.png,224796.0,5604.0,0.0,0.0,0.9756770833333334,-1.0,-1.0,-1.0,-1.0,0.0,0.0,5604.0,224796.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_1064.png,224768.0,5632.0,0.0,0.0,0.9755555555555555,-1.0,-1.0,-1.0,-1.0,0.0,0.0,5632.0,224768.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF12_0099.png,210744.0,19644.0,12.0,0.0,0.9146875,-1.0,-1.0,-1.0,-1.0,0.0,12.0,19644.0,210744.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF12_0198.png,216220.0,14180.0,0.0,0.0,0.9384548611111111,-1.0,-1.0,-1.0,-1.0,0.0,0.0,14180.0,216220.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF12_0340.png,210088.0,20312.0,0.0,0.0,0.9118402777777778,-1.0,-1.0,-1.0,-1.0,0.0,0.0,20312.0,210088.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF12_0507.png,211916.0,18484.0,0.0,0.0,0.9197743055555555,-1.0,-1.0,-1.0,-1.0,0.0,0.0,18484.0,211916.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
