Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
000016.png,225715.0,538.0,220.0,3927.0,0.9966530226561223,-1.0,-1.0,-1.0,-1.0,190.0,13.0,403.0,229794.0,0.31353135313531355,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3711.0,233.0,161.0,226295.0,0.9040194884287455,-1.0,-1.0,-1.0,-1.0
000017.png,222086.0,115.0,240.0,7959.0,0.9984040711919115,-1.0,-1.0,-1.0,-1.0,505.0,216.0,94.0,229585.0,0.6196319018404908,-1.0,-1.0,-1.0,-1.0,763.0,1.0,175.0,229461.0,0.8125665601703941,-1.0,-1.0,-1.0,-1.0,6400.0,314.0,137.0,223549.0,0.9341701941322434,-1.0,-1.0,-1.0,-1.0
000018.png,226095.0,564.0,11.0,3730.0,0.9974632725989324,-1.0,-1.0,-1.0,-1.0,788.0,216.0,251.0,229145.0,0.6278884462151394,-1.0,-1.0,-1.0,-1.0,144.0,0.0,185.0,230071.0,0.4376899696048632,-1.0,-1.0,-1.0,-1.0,2366.0,227.0,560.0,227247.0,0.750396447827466,-1.0,-1.0,-1.0,-1.0
000019.png,224810.0,112.0,381.0,5097.0,0.9978118356169248,-1.0,-1.0,-1.0,-1.0,963.0,43.0,214.0,229180.0,0.7893442622950819,-1.0,-1.0,-1.0,-1.0,77.0,71.0,26.0,230226.0,0.4425287356321839,-1.0,-1.0,-1.0,-1.0,3831.0,493.0,98.0,225978.0,0.8663500678426052,-1.0,-1.0,-1.0,-1.0
000020.png,228781.0,82.0,63.0,1474.0,0.999366607550038,-1.0,-1.0,-1.0,-1.0,117.0,21.0,119.0,230143.0,0.45525291828793774,-1.0,-1.0,-1.0,-1.0,53.0,35.0,21.0,230291.0,0.48623853211009177,-1.0,-1.0,-1.0,-1.0,1180.0,131.0,66.0,229023.0,0.8569353667392883,-1.0,-1.0,-1.0,-1.0
000021.png,228398.0,101.0,11.0,1890.0,0.9995098682770994,-1.0,-1.0,-1.0,-1.0,332.0,121.0,115.0,229832.0,0.5845070422535211,-1.0,-1.0,-1.0,-1.0,11.0,5.0,75.0,230309.0,0.12087912087912088,-1.0,-1.0,-1.0,-1.0,1350.0,82.0,108.0,228860.0,0.8766233766233766,-1.0,-1.0,-1.0,-1.0
000022.png,225178.0,126.0,25.0,5071.0,0.9993298687696657,-1.0,-1.0,-1.0,-1.0,433.0,32.0,109.0,229826.0,0.7543554006968641,-1.0,-1.0,-1.0,-1.0,483.0,29.0,39.0,229849.0,0.8765880217785844,-1.0,-1.0,-1.0,-1.0,4029.0,90.0,104.0,226177.0,0.9540610940089983,-1.0,-1.0,-1.0,-1.0
000023.png,224558.0,219.0,119.0,5504.0,0.9984970830961867,-1.0,-1.0,-1.0,-1.0,419.0,22.0,134.0,229825.0,0.7286956521739131,-1.0,-1.0,-1.0,-1.0,410.0,83.0,15.0,229892.0,0.8070866141732284,-1.0,-1.0,-1.0,-1.0,4536.0,153.0,209.0,225502.0,0.926092282564312,-1.0,-1.0,-1.0,-1.0
000024.png,228268.0,79.0,41.0,2012.0,0.9994745783491251,-1.0,-1.0,-1.0,-1.0,332.0,14.0,83.0,229971.0,0.7738927738927739,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1642.0,65.0,34.0,228659.0,0.9431361286616887,-1.0,-1.0,-1.0,-1.0
000025.png,226756.0,126.0,66.0,3452.0,0.9991539912226589,-1.0,-1.0,-1.0,-1.0,586.0,189.0,144.0,229481.0,0.6376496191512514,-1.0,-1.0,-1.0,-1.0,172.0,74.0,3.0,230151.0,0.6907630522088354,-1.0,-1.0,-1.0,-1.0,2364.0,133.0,309.0,227594.0,0.84248039914469,-1.0,-1.0,-1.0,-1.0
