Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
GPMF11_0087.png,209724.0,2944.0,5132.0,12600.0,0.9629201101928375,-1.0,-1.0,-1.0,-1.0,5928.0,3038.0,1172.0,220262.0,0.5847307161175774,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,6499.0,2267.0,1945.0,219689.0,0.6067594062179068,-1.0,-1.0,-1.0,-1.0
GPMF11_0101.png,211643.0,2082.0,6525.0,10150.0,0.9609216799091941,-1.0,-1.0,-1.0,-1.0,5349.0,4124.0,703.0,220224.0,0.5256485849056604,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4223.0,2979.0,1957.0,221241.0,0.46107653673981874,-1.0,-1.0,-1.0,-1.0
GPMF11_0213.png,209101.0,1779.0,9135.0,10385.0,0.9503942912983205,-1.0,-1.0,-1.0,-1.0,6301.0,2278.0,675.0,221146.0,0.6808947482169873,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3745.0,7196.0,1443.0,218016.0,0.302406330749354,-1.0,-1.0,-1.0,-1.0
GPMF11_0495.png,211325.0,11132.0,7943.0,0.0,0.9172092013888888,-1.0,-1.0,-1.0,-1.0,0.0,2529.0,5616.0,222255.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,5414.0,5516.0,219470.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF11_0887.png,210873.0,2672.0,9055.0,7800.0,0.9473180592991913,-1.0,-1.0,-1.0,-1.0,4404.0,2838.0,1200.0,221958.0,0.5216773276474769,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3207.0,6406.0,1661.0,219126.0,0.2844598190526876,-1.0,-1.0,-1.0,-1.0
GPMF11_1064.png,208602.0,5085.0,9350.0,7363.0,0.935279796625672,-1.0,-1.0,-1.0,-1.0,2371.0,3241.0,3261.0,221527.0,0.2672151470753973,-1.0,-1.0,-1.0,-1.0,0.0,89.0,0.0,230311.0,0.0,-1.0,-1.0,-1.0,-1.0,4302.0,6710.0,2514.0,216874.0,0.31805411799497263,-1.0,-1.0,-1.0,-1.0
GPMF12_0099.png,180783.0,32621.0,477.0,16519.0,0.8452503962483812,-1.0,-1.0,-1.0,-1.0,14808.0,1703.0,4836.0,209053.0,0.6936806108586686,-1.0,-1.0,-1.0,-1.0,0.0,61.0,0.0,230339.0,0.0,-1.0,-1.0,-1.0,-1.0,329.0,95.0,29167.0,200809.0,0.01111824541245649,-1.0,-1.0,-1.0,-1.0
GPMF12_0198.png,198243.0,19037.0,53.0,13067.0,0.9121624419669355,-1.0,-1.0,-1.0,-1.0,12527.0,593.0,1653.0,215627.0,0.8479658837067623,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,17924.0,212476.0,0.0,-1.0,-1.0,-1.0,-1.0
GPMF12_0340.png,191456.0,16419.0,1192.0,21333.0,0.9157638460397863,-1.0,-1.0,-1.0,-1.0,18669.0,3846.0,1643.0,206242.0,0.7727874824074841,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,17430.0,212960.0,0.0005733944954128441,-1.0,-1.0,-1.0,-1.0
GPMF12_0507.png,195199.0,14038.0,2133.0,19030.0,0.9234943464067749,-1.0,-1.0,-1.0,-1.0,18081.0,3082.0,403.0,208834.0,0.8384030418250951,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,14584.0,215816.0,0.0,-1.0,-1.0,-1.0,-1.0
